column,layer,top1,top1_prob,gold,gold_rank
NPO int8,25,ijms,0.2951,April,78
NPO int8,26,ijms,0.2008,April,83
NPO int8,27,ijms,0.3158,April,183
NPO int8,28,ijms,0.1745,April,112
NPO int8,29,ijms,0.034,April,97
NPO int8,30,ijms,0.0326,April,51
NPO int8,31,Costa,0.0244,April,26
NPO int8,32,ijms,0.0176,April,39
NPO int8,33,e,0.0391,April,138
NPO int8,34,e,0.2055,April,1037
NPO int8,35,e,0.9984,April,7103
NPO int8,36,e,1.0,April,25515
NPO nf4,0,behalf,0.2183,April,3785
NPO nf4,1,ijms,0.0726,April,9181
NPO nf4,2,ijms,0.0687,April,6585
NPO nf4,3,ijms,0.0445,April,6901
NPO nf4,4,ijms,0.0661,April,2952
NPO nf4,5,ijms,0.1306,April,1817
NPO nf4,6,ijms,0.1518,April,592
NPO nf4,7,ijms,0.0721,April,1095
NPO nf4,8,ijms,0.0179,April,672
NPO nf4,9,the,0.0062,April,401
NPO nf4,10,ijms,0.096,April,147
NPO nf4,11,ijms,0.2531,April,64
NPO nf4,12,ijms,0.0461,April,28
NPO nf4,13,“,0.0091,April,73
NPO nf4,14,“,0.0098,April,162
NPO nf4,15,“,0.0173,April,32
NPO nf4,16,“,0.0084,April,13
NPO nf4,17,April,0.0168,April,1
NPO nf4,18,ijms,0.0323,April,4
NPO nf4,19,ijms,0.0192,April,2
NPO nf4,20,ijms,0.0601,April,34
NPO nf4,21,ijms,0.007,April,13
NPO nf4,22,ijms,0.0148,April,39
NPO nf4,23,ijms,0.0487,April,79
NPO nf4,24,ijms,0.2918,April,50
NPO nf4,25,ijms,0.3995,April,136
NPO nf4,26,ijms,0.2253,April,150
NPO nf4,27,ijms,0.3277,April,287
NPO nf4,28,ijms,0.2066,April,203
NPO nf4,29,ijms,0.045,April,222
NPO nf4,30,ijms,0.0421,April,147
NPO nf4,31,Costa,0.0283,April,85
NPO nf4,32,Costa,0.0101,April,135
NPO nf4,33,e,0.0353,April,546
NPO nf4,34,e,0.205,April,2431
NPO nf4,35,e,0.9974,April,10429
NPO nf4,36,e,1.0,April,28624
NPO rtn-int4,0,behalf,0.2084,April,4224
NPO rtn-int4,1,ijms,0.1873,April,8979
NPO rtn-int4,2,ijms,0.1824,April,7335
NPO rtn-int4,3,ijms,0.2371,April,7652
NPO rtn-int4,4,ijms,0.3785,April,3642
NPO rtn-int4,5,ijms,0.7474,April,1703
NPO rtn-int4,6,ijms,0.7341,April,540
NPO rtn-int4,7,ijms,0.3543,April,783
NPO rtn-int4,8,ijms,0.0614,April,482
NPO rtn-int4,9,the,0.01,April,399
NPO rtn-int4,10,ijms,0.1314,April,251
NPO rtn-int4,11,ijms,0.1346,April,169
NPO rtn-int4,12,ijms,0.0174,April,103
NPO rtn-int4,13,antioxid,0.0101,April,493
NPO rtn-int4,14,“,0.0088,April,923
NPO rtn-int4,15,“,0.0141,April,366
NPO rtn-int4,16,big,0.0088,April,248
NPO rtn-int4,17,ijms,0.0407,April,13
NPO rtn-int4,18,ijms,0.0353,April,39
NPO rtn-int4,19,ijms,0.0644,April,11
NPO rtn-int4,20,ijms,0.0706,April,27
NPO rtn-int4,21,ijms,0.0997,April,7
NPO rtn-int4,22,ijms,0.0375,April,5
NPO rtn-int4,23,ijms,0.0255,April,23
NPO rtn-int4,24,ijms,0.0973,April,4
NPO rtn-int4,25,Costa,0.2954,April,6
NPO rtn-int4,26,Costa,0.3346,April,3
NPO rtn-int4,27,Costa,0.18,April,14
NPO rtn-int4,28,Costa,0.5877,April,9
NPO rtn-int4,29,Costa,0.5394,April,11
NPO rtn-int4,30,Costa,0.3475,April,7
NPO rtn-int4,31,Costa,0.5166,April,2
NPO rtn-int4,32,Costa,0.077,April,2
NPO rtn-int4,33,April,0.1045,April,1
NPO rtn-int4,34,April,0.0416,April,1
NPO rtn-int4,35,April,0.0277,April,1
NPO rtn-int4,36,4,0.9518,April,3
